NGC0001
NGC0002
NGC0003
NGC0004
NGC0005
NGC0006
NGC0007
NGC0008
NGC0009
NGC0010
NGC0011
NGC0012
NGC0013
NGC0014
NGC0015
NGC0016
NGC0017
NGC0018
NGC0019
NGC0020
NGC0021
NGC0022
NGC0023
NGC0024
NGC0025
NGC0026
NGC0027
NGC0028
NGC0029
NGC0030
NGC0031
NGC0032
NGC0033
NGC0034
NGC0035
NGC0036
NGC0037
NGC0038
NGC0039
NGC0040
NGC0041
NGC0042
NGC0043
NGC0044
NGC0045
NGC0046
NGC0047
NGC0048
NGC0049
NGC0050
NGC0051
NGC0052
NGC0053
NGC0054
NGC0055
NGC0056
NGC0057
NGC0058
NGC0059
NGC0060
NGC0061
NGC0061A
NGC0061B
NGC0062
NGC0063
NGC0064
NGC0065
NGC0066
NGC0067
NGC0068
NGC0069
NGC0070
NGC0071
NGC0072
NGC0072A
NGC0073
NGC0074
NGC0075
NGC0076
NGC0077
NGC0078
NGC0078A
NGC0078B
NGC0079
NGC0080
NGC0081
NGC0082
NGC0083
NGC0084
NGC0085
NGC0085B
NGC0086
NGC0087
NGC0088
NGC0089
NGC0090
NGC0091
NGC0092
NGC0093
NGC0094
NGC0095
NGC0096
NGC0097
NGC0098
NGC0099
NGC0100
NGC0101
NGC0102
NGC0103
NGC0104
NGC0105
NGC0106
NGC0107
NGC0108
NGC0109
NGC0110
NGC0111
NGC0112
NGC0113
NGC0114
NGC0115
NGC0116
NGC0117
NGC0118
NGC0119
NGC0120
NGC0121
NGC0122
NGC0123
NGC0124
NGC0125
NGC0126
NGC0127
NGC0128
NGC0129
NGC0130
NGC0131
NGC0132
NGC0133
NGC0134
NGC0135
NGC0136
NGC0137
NGC0138
NGC0139
NGC0140
NGC0141
NGC0142
NGC0143
NGC0144
NGC0145
NGC0146
NGC0147
NGC0148
NGC0149
NGC0150
NGC0151
NGC0152
NGC0153
NGC0154
NGC0155
NGC0156
NGC0157
NGC0158
NGC0159
NGC0160
NGC0161
NGC0162
NGC0163
NGC0164
NGC0165
NGC0166
NGC0167
NGC0168
NGC0169
NGC0169A
NGC0170
NGC0171
NGC0172
NGC0173
NGC0174
NGC0175
NGC0176
NGC0177
NGC0178
NGC0179
NGC0180
NGC0181
NGC0182
NGC0183
NGC0184
NGC0185
NGC0186
NGC0187
NGC0188
NGC0189
NGC0190
NGC0190 NED01
NGC0190 NED02
NGC0191
NGC0191A
NGC0192
NGC0193
NGC0194
NGC0195
NGC0196
NGC0197
NGC0198
NGC0199
NGC0200
NGC0201
NGC0202
NGC0203
NGC0204
NGC0205
NGC0206
NGC0207
NGC0208
NGC0209
NGC0210
NGC0211
NGC0212
NGC0213
NGC0214
NGC0215
NGC0216
NGC0217
NGC0218
NGC0219
NGC0220
NGC0221
NGC0222
NGC0223
NGC0224
NGC0225
NGC0226
NGC0227
NGC0228
